,JLA_name,zcmb,mb,x1,color,3rdvar
0,SDSS5103,0.1605,20.35959,-0.229365,0.016122,8.995
1,SDSS13099,0.26451,21.53541,0.347212,-0.021876,11.053
2,SDSS17274,0.17658,20.397033,1.957731,-0.136685,8.963
3,SDSS19794,0.29542,22.241585,-2.427288,0.045528,11.16
4,SDSS19282,0.17558,20.292843,1.224646,-0.038586,5.0
5,SDSS6924,0.3264,21.644769,0.908728,-0.07304,10.755
6,SDSS20064,0.10391,19.26048,0.849269,0.055639,11.288
7,sn2007qe,0.023867,16.068268,0.760605,0.052186,6.0
8,SDSS19543,0.12164,19.946008,-0.835084,-0.021891,8.828
9,SDSS13070,0.19709,20.348239,0.94902,-0.144736,9.999
10,SDSS8213,0.18327,21.108509,-0.656771,0.160219,10.339
11,SDSS19992,0.22452,21.145906,0.273495,-0.080933,9.496
12,SDSS17218,0.17757,20.428083,-0.760469,-0.084884,10.015
13,SDSS16116,0.1486,19.970319,0.508881,-0.097611,9.512
14,sn1997dg,0.030482,16.849731,-0.334473,-0.030644,6.0
15,SDSS4046,0.27544,21.521059,0.79804,0.00238,9.604
16,SDSS20111,0.24348,21.41238,-0.029582,0.009035,10.6
17,SDSS21502,0.08784,18.825522,-0.319465,-0.051292,11.214
18,SDSS16281,0.18255,20.47384,-0.873266,-0.07317,10.141
19,sn2002dp,0.010888,14.557203,-0.316464,0.054095,10.47
20,SDSS16259,0.11771,20.03987,-1.540003,0.07502,11.013
21,SDSS12950,0.08133,18.915623,-0.3315,-0.005329,9.793
22,SDSS13830,0.32837,21.644732,1.180448,-0.018399,11.042
23,SDSS13796,0.1436,19.837994,0.789492,-0.018978,10.018
24,SDSS13757,0.28742,21.262819,1.098936,-0.166608,5.0
25,SDSS7147,0.10924,19.47415,-1.914343,-0.094807,10.31
26,SDSS21861,0.18655,20.476939,0.132373,-0.025413,9.648
27,SDSS19757,0.40128,21.991848,0.174516,-0.10457,10.274
28,SDSS1371,0.11771,19.052211,0.789563,-0.101397,10.95
29,SDSS6422,0.18255,20.273166,0.809261,-0.105454,9.398
30,SDSS20227,0.28243,21.510915,-1.29134,-0.149793,10.88
31,SDSS6192,0.27044,21.678524,-1.94823,-0.061742,9.611
32,SDSS16211,0.30933,22.130926,-1.964016,0.004445,11.226
33,SDSS20084,0.12961,20.554137,0.129042,0.154984,8.635
34,SDSS13038,0.10264,19.206141,1.419043,-0.023293,5.0
35,SDSS20106,0.33136,22.047888,-0.983242,-0.113775,10.137
36,SDSS16352,0.24647,20.845774,0.273411,-0.141815,9.769
37,SDSS18617,0.32038,22.0083,-0.256202,-0.021879,9.922
38,SDSS15504,0.24947,21.852696,2.33717,0.205582,10.727
39,SDSS7143,0.3024,22.0549,-0.477103,0.011421,10.494
40,SDSS13641,0.20852,20.762042,1.026478,-0.031055,5.0
41,SDSS13045,0.18055,20.67432,-0.137419,0.052129,10.414
42,SDSS10805,0.04413,17.531728,-0.952693,0.056678,9.998
43,SDSS2789,0.28872,21.563138,-0.761709,-0.110724,10.949
44,SDSS14456,0.32837,21.823069,-0.040964,-0.029396,10.93
45,SDSS13934,0.32838,22.190461,-0.707675,-0.100206,10.51
46,SDSS20245,0.30041,21.668758,-0.602476,0.045499,11.404
47,SDSS13025,0.22351,21.236545,0.742038,0.028844,10.714
48,SDSS19899,0.09007,18.477718,0.284478,-0.146258,8.529
49,sn1995ac,0.048984,17.075749,0.749336,-0.038395,7.892
50,SDSS16069,0.12739,20.104432,0.878535,0.15663,10.98
51,SDSS18604,0.17656,20.912797,-2.079275,-0.046418,10.812
52,SDSS14318,0.05654,17.780075,0.864354,0.028353,9.93
53,SDSS17168,0.18257,20.59859,0.503374,-0.039676,9.52
54,SDSS20048,0.18056,20.90687,-0.682083,0.021693,10.682
55,SDSS1112,0.25611,21.537919,-0.623265,-0.026817,11.13
56,SDSS18602,0.13362,20.091364,0.915935,0.062187,9.408
57,SDSS13425,0.20953,21.86497,-0.977679,0.259538,10.36
58,sn2005kc,0.01496,15.489034,-0.697978,0.148376,10.934
59,sn2006gr,0.033614,16.968737,0.878787,0.074036,10.781361
60,SDSS9032,0.25249,21.349051,0.872317,0.015949,8.58
61,SDSS20581,0.20554,20.612992,-0.457773,-0.122373,9.938
62,SDSS1241,0.08889,19.115082,-0.547524,0.048945,10.171
63,SDSS6196,0.27916,21.551471,-1.51965,-0.017038,11.251
64,SDSS15201,0.20704,21.801005,-1.245704,0.094327,11.143
65,SDSS18415,0.12961,19.866162,-1.62361,-0.086675,10.832
66,SDSS13736,0.14901,19.972155,1.116862,-0.026876,9.589
67,SDSS14816,0.10589,19.370566,-0.67268,0.021313,10.383
68,SDSS16402,0.28845,20.859757,-0.872064,-0.186671,10.996
69,SDSS9457,0.25539,21.432154,-0.361202,-0.021164,10.864
70,SDSS8495,0.21295,20.819745,0.751948,-0.023337,10.732
71,SDSS15356,0.27447,21.436954,-0.707454,-0.049484,10.276
72,SDSS13072,0.22916,21.093432,0.392184,-0.013385,10.027
73,SDSS3452,0.22893,20.806588,0.906222,-0.090738,9.397
74,SDSS3451,0.24851,20.952989,0.650834,-0.054933,10.824
75,SDSS19913,0.20557,20.820147,0.082692,-0.059073,10.164
76,sn2007cq,0.025468,15.797848,-0.657941,-0.060805,9.704507
77,SDSS21062,0.14564,20.358304,0.819513,0.013295,9.317
78,SDSS3199,0.24961,21.547293,1.618942,0.005047,8.578
79,SDSS5635,0.1781,20.91017,0.040834,-0.027909,9.548
80,SDSS19953,0.11767,19.195923,0.743346,-0.126086,9.46
81,SDSS19230,0.21955,21.280787,-1.62107,0.079536,10.324
82,SDSS12856,0.17028,20.134725,0.860171,-0.089735,10.118
83,SDSS13044,0.11967,19.578968,-0.014339,-0.06787,9.624
84,SDSS17791,0.27749,21.739047,0.247627,-0.186998,8.946
85,SDSS16106,0.24973,21.02095,-0.628986,-0.150136,10.831
86,SDSS14437,0.14265,19.708683,0.594179,-0.09483,9.77
87,SDSS19008,0.21757,21.084988,1.079449,0.085294,10.62
88,SDSS15456,0.38047,21.980928,-1.212778,-0.090551,10.799
89,SDSS13305,0.19959,20.849845,1.115009,0.017693,10.014
90,SDSS14212,0.20399,20.912346,-0.339599,-0.032535,10.284
91,SDSS12855,0.17063,20.781976,-1.918197,0.040563,5.0
92,SDSS10434,0.10289,19.156988,-0.005434,-0.08741,10.955
93,SDSS15132,0.15295,19.761456,1.067798,-0.133296,9.218
94,SDSS744,0.12649,19.808548,1.401317,0.071402,10.155
95,sn2006on,0.069751,18.412215,0.548467,0.07895,10.327
96,SDSS9467,0.21698,21.069215,-1.395764,-0.141924,11.817
97,SDSS2017,0.26014,21.301262,1.392157,-0.105855,10.403
98,SDSS19027,0.2935,21.355269,0.469262,-0.006881,9.254
99,SDSS20040,0.28351,21.246461,0.704019,-0.110345,10.045
100,SDSS5533,0.21829,21.161023,-0.079904,0.022297,9.44
101,SDSS16473,0.2096,20.739132,-1.073325,-0.148416,9.907
102,SDSS16793,0.22058,20.764062,0.524838,-0.051257,5.0
