JLA_name,OSC_name,Aliases,Host,OSC_RA,OSC_DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,ZPEG_StMass,ZPEG_(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_redshift,ZPEG_Age(Myr),Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor
03D1aw,SNLS-03D1aw,SNLS-03D1aw,[AGR2006] J022414.78-043101.6,"02:24:14.792,02:24:14.780,02:24:14.786","-04:31:01.77,-04:31:01.770,-04:31:01.61",24:14.8,-04:31:01.6,22.62863,20.87224,20.36568,20.18505,20.07742,0.47834,0.04139608,0.03584124,0.04235885,0.1406213,36.06173147,-4.518471346,OSC Host,1.43E+09,0.30137042,3.4,0.1,10000.0,312.0,0.580724,0.582,0.0,23.573937,0.090132,0.974346,0.273823,-0.025076,0.036691,9.169,0.088,52902.898002,0.352732,0.002823,0.000415,0.001574,1.0,36.061634,-4.517158,0.000843
03D1ax,SNLS-03D1ax,SNLS-03D1ax,[HSP2005] J022423.32-044314.41,"02:24:23.349,02:24:23.320,02:24:23.338","-04:43:14.79,-04:43:14.790,-04:43:14.41,-04:43:14.28",24:23.3,-04:43:14.41,24.56627,24.32127,22.89106,21.91157,22.27162,1.368482,0.4838712,0.2635818,0.1468087,0.5883713,36.09847986,-4.719524819,OSC Host,2.28E+10,0.0,1.02,0.5,6000.0,311.0,0.494795,0.496,0.0,22.960139,0.08811,-0.728837,0.102069,-0.099683,0.030305,11.58,0.1125,52915.92367,0.111634,0.000542,0.000475,-2.4e-05,1.0,36.097287,-4.720774,0.001692
03D1bp,SNLS-03D1bp,SNLS-03D1bp,[AGR2006] J022637.71-045019.5,"02:26:37.736,02:26:37.720,02:26:37.714","-04:50:19.61,-04:50:19.610,-04:50:19.34,-04:50:19.55",26:37.7,-04:50:19.5,22.17611,21.18,19.69469,19.1885,18.74708,0.3440131,0.0578871,0.0267722,0.02277435,0.05684558,36.65704464,-4.839114228,OSC Host,8.97E+10,0.0,6.28,0.3,7000.0,305.0,0.345928,0.347,0.0,22.398137,0.087263,-1.15511,0.112834,-0.040581,0.026679,10.821,0.1235,52920.249015,0.102828,0.001114,0.000616,0.000295,1.0,36.657235,-4.838779,-0.00027
03D1dt,SNLS-03D1dt,SNLS-03D1dt,[AGR2006] J022631.20-040308.5,"02:26:31.192,02:26:31.200","-04:03:08.43,-04:03:08.430,-04:03:08.51",26:31.2,-04:03:08.5,22.9829,24.66403,24.76174,22.47747,22.07123,0.7869791,0.8200764,1.049048,0.3549803,0.8716906,36.62981632,-4.052075635,OSC Host,4.35E+10,0.0,0.863,0.8,5000.0,306.0,0.610712,0.612,0.0,23.285241,0.092877,-1.161563,1.641345,-0.094943,0.049652,9.715,0.092,52962.253197,0.976562,0.029671,0.000947,0.044357,1.0,36.629968,-4.052341,2.6e-05
03D1fc,SNLS-03D1fc,SNLS-03D1fc,[AGR2006] J022543.62-040838.9,"02:25:43.596,02:25:43.602,02:25:43.625","-04:08:38.61,-04:08:38.610,-04:08:38.77,-04:08:38.93",25:43.6,-04:08:38.9,22.67062,21.72611,20.32011,19.83965,19.34808,0.5562555,0.07978287,0.03633415,0.03100056,0.09934957,36.43174285,-4.144309506,OSC Host,2.57E+10,0.0,3.78,0.2,10000.0,309.0,0.330932,0.332,0.0,21.861412,0.086437,0.650394,0.118542,-0.017577,0.023794,10.391,0.036,53002.763813,0.104433,0.001006,0.000527,0.00054,1.0,36.431648,-4.144059,-0.000526
03D1fq,SNLS-03D1fq,SNLS-03D1fq,[HSP2005] J022655.68-041808.10,"02:26:55.664,02:26:55.683","-04:18:07.98,-04:18:07.980,-04:18:08.10",26:55.7,-04:18:08.10,23.6292,24.97699,23.6057,21.60659,21.65481,0.9687266,0.8216213,0.6645943,0.1575783,0.6253835,36.73185845,-4.302349212,OSC Host,1.02E+11,0.0,1.18,0.7,6000.0,303.0,0.798566,0.8,0.0,24.510389,0.101777,-1.056666,0.406837,-0.055975,0.064955,10.651,0.127,52999.213046,0.655817,0.005897,-0.001115,0.003551,1.0,36.731935,-4.302217,-0.011577
03D3aw,SN2003fp,"SN2003fp, SNLS-03D3aw",A142053+5236,"14:20:53.532,14:20:53.61,14:20:53.611,14:20:53.618","+52:36:20.25,+52:36:20.7,+52:36:20.250,+52:36:20.70,+52:36:20.79","14:20:53,14:20:53.00","+52:36:20,+52:36:20.0",25.88769,23.37936,21.45956,19.53608,18.61792,0.4166068,0.2501347,0.06443827,0.01958916,0.0301203,215.2208099,52.60680353,OSC Host,2.90E+12,0.0,112.0,1.0,5000.0,178.0,0.449562,0.449,0.0,22.667126,0.091912,0.810113,0.232169,-0.085962,0.038205,10.695,0.034,52767.328075,0.200656,0.005474,0.000792,0.000662,1.0,215.223049,52.605624,0.0014
03D3ay,SNLS-03D3ay,SNLS-03D3ay,[AGR2006] J141758.44+522857.6,"14:17:58.459,14:17:58.448","+52:28:57.41,+52:28:57.410,+52:28:57.63",17:58.4,+52:28:57.6,21.20753,20.57363,19.71066,19.42842,19.02769,0.1826343,0.04125705,0.02909919,0.03315374,0.08169983,214.493308,52.48273786,OSC Host,7.25E+10,17.398325,2.25,0.4,8000.0,188.0,0.371443,0.3709,0.0,22.273052,0.091326,0.569579,0.197845,-0.054463,0.033075,10.198,0.0675,52767.625241,0.141892,0.004907,0.000899,0.000913,1.0,214.49358,52.482613,0.000189
03D3ba,SN2003fn,"SN2003fn, SNLS-03D3ba",A141633+5220,"14:16:33.431,14:16:33.44,14:16:33.439,14:16:33.448","+52:20:31.88,+52:20:31.880,+52:20:32.1,+52:20:32.10,+52:20:32.19","14:16:33,14:16:33.00","+52:20:32,+52:20:32.0",23.71413,21.19107,20.21113,19.80377,19.53948,1.160639,0.05348819,0.03782693,0.040843,0.1204582,214.1392664,52.34182671,OSC SN,5.49E+09,0.0,0.432,0.1,10000.0,192.0,0.291718,0.2912,0.0,21.961068,0.093479,0.760688,0.172975,0.116118,0.035364,10.211,0.0935,52749.605469,0.804557,-0.002911,0.001326,-0.001142,1.0,214.139297,52.34219,-0.001074
03D3bl,SN2003fk,"SN2003fk, SNLS-03D3bl",A141955+5305,"14:19:55.800,14:19:55.84,14:19:55.841,14:19:55.848","+53:05:50.64,+53:05:50.640,+53:05:50.9,+53:05:50.89,+53:05:50.99","14:19:55,14:19:55.00","+53:05:50,+53:05:50.0",22.18893,20.99523,20.54117,20.36819,20.32812,0.1996876,0.03364826,0.0319644,0.03605263,0.1157286,214.978201,53.09847915,OSC Host,9.74E+08,0.21515377,2.78,0.1,10000.0,179.0,0.35582,0.3553,0.0,22.926619,0.087008,0.055758,0.192657,0.204749,0.029878,10.831,0.0925,52787.142342,0.288522,0.000395,0.000662,-0.000535,1.0,214.982501,53.097401,-9.4e-05
03D3cd,SN2003fi,"SN2003fi, SNLS-03D3cd",A141839+5236,"14:18:39.927,14:18:39.96,14:18:39.960,14:18:39.968","+52:36:43.48,+52:36:43.480,+52:36:44.1,+52:36:44.10,+52:36:44.19","14:18:39,14:18:39.00","+52:36:44,+52:36:44.0",23.56464,22.26158,21.47274,21.23348,20.76932,1.090653,0.1873016,0.1344824,0.1612431,0.3756386,214.6660187,52.61249789,OSC SN,1.17E+09,0.04579248,0.18,0.1,11000.0,185.0,0.461274,0.4607,0.0,22.575127,0.095948,1.861682,0.565093,-0.043023,0.038208,9.339,0.152,52801.729007,0.226325,0.021901,0.001309,0.010876,1.0,214.666364,52.612079,0.001514
04D1dc,SNLS-04D1dc,"SNLS-04D1dc, 2MASS J02261840-0418425",[NSB2006] J022618.47-041843.2,"02:26:18.40,02:26:18.464,02:26:18.477","-04:18:42.5,-04:18:43.090,-04:18:43.28",26:18.5,-04:18:43.2,22.10612,20.09623,18.78917,18.22588,17.93669,0.3917817,0.02708326,0.01471034,0.01287285,0.0365732,36.57672782,-4.3117911,OSC Host,2.14E+11,0.0,4.53,0.3,7000.0,307.0,0.210032,0.211,0.0,21.056779,0.085765,-1.236256,0.061648,-0.002674,0.025159,10.635,0.0415,53230.680282,0.159906,-0.000108,0.000598,-0.000205,1.0,36.576935,-4.311968,-0.000962
04D1jg,SNLS-04D1jg,SNLS-04D1jg,[NSB2006] J022612.56-040805.3,"02:26:12.557,02:26:12.567","-04:08:05.28,-04:08:05.280,-04:08:05.34",26:12.6,-04:08:05.3,26.53709,21.84233,20.21473,19.42033,18.88236,0.9542468,0.1406905,0.05234044,0.03549246,0.1013802,36.55273279,-4.135367148,OSC Host,3.71E+11,0.0,9.2,0.5,8000.0,308.0,0.582932,0.5842,0.0,23.273246,0.09012,0.265156,0.158945,-0.104618,0.033952,11.338,0.1505,53273.566497,0.212852,0.001492,0.000369,0.000478,1.0,36.552319,-4.1348,0.000793
