,JLA_name,OSC_name,Aliases,Host,RA,DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor,ZPEG_StMass,ZPEG_SFR(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_Redshift,ZPEG_Age(Myr)
0,SDSS5103,SN2005gx,"SN2005gx, SDSS-II SN 5103",SDSS J35932.24+004412.6,"23:59:32.160,23:59:32.3,23:59:32.16,23:59:32.26,23:59:32.261","+00:44:12.91,+00:44:14,+00:44:13.81,+00:44:13.6,+00:44:13.794,+00:44:13.582,+00:44:13.8","23:59:32.241,23:59:32.16,23:59:32,23:59:32.00","+00:44:12.911,+00:44:12.6816,+00:44:13,+00:44:13.0",21.10723965,20.98911006,20.52883987,20.38162177,20.32624865,0.2375591,0.09006778,0.07654461,0.099789,0.30782,359.8844052,0.736910617,OSC Host,0,0.1605,0.1619,0,20.35959,0.113217,-0.229365,0.149789,0.016122,0.026871,8.995,0.168,53654.60517,0.149708,0.001712,0.000669,0.000698,2,-0.11555,0.737165,-0.001189,4.35E+09,1.0439732,3.91E+00,0.161,8000
1,SDSS13099,SN2006gb,"SN2006gb, SDSS-II SN 13099",SDSS J35916.47-011502.5,"23:59:16.56,23:59:16.50,23:59:16.500","-01:15:01.4,-01:15:01.44,-01:15:01.368,-01:15:01.584,-01:15:01.3,-01:15:01.30","23:59:16.56,23:59:16,23:59:16.00","-01:15:02.52,-01:15:02.556,-01:15:01,-01:15:01.0",20.24478565,19.20410423,18.41353322,18.08412258,17.83348849,0.1245344,0.02289344,0.01531496,0.01620834,0.04657297,359.8186635,-1.250678943,OSC Host,1,0.26451,0.26603,0,21.53541,0.119638,0.347212,0.787464,-0.021876,0.046516,11.053,0.1765,53995.22543,1.406763,0.000978,0.001303,-0.001618,2,-0.181266,-1.250384,-0.000381,1.41E+11,24.502937,3.99E+00,0.265,10000
2,SDSS17274,SN2007ij,"SN2007ij, SDSS-II SN 17274",SDSS J35721.98+000621.1,"23:57:22.08,23:57:21.96,23:57:21.84","+00:06:21.089,+00:06:21.1,+00:06:20.707","23:57:22.08,23:57:21,23:57:21.00","+00:06:21.1284,+00:06:21,+00:06:21.0",21.87662259,21.55701107,21.11454612,20.96572733,23.03021581,0.3242251,0.1023252,0.1033178,0.1261249,1.353257,359.3416484,0.105768708,OSC Host,2,0.17658,0.178,0,20.397033,0.1635,1.957731,0.536123,-0.136685,0.077192,8.963,0.141,54352.87976,2.336975,-0.013374,0.008604,-0.011383,2,-0.658497,0.105858,-0.001107,3.08E+09,0.73852571,7.16E+00,0.177,8000
3,SDSS19794,SN2007oz,"SN2007oz, SDSS-II SN 19794",SDSS J35716.58+001454.5,"23:57:16.57,23:57:16.56","+00:14:57.7,+00:14:57.23,+00:14:57.721,+00:14:57.224","23:57:16.56,23:57:16,23:57:16.00","+00:14:54.5532,+00:14:57,+00:14:57.0",24.60905455,20.71975199,19.03997995,18.43545986,18.02115502,2.291394,0.05973868,0.01845652,0.01450155,0.04003824,359.3191123,0.248490791,OSC Host,3,0.29542,0.29698,0,22.241585,0.134209,-2.427288,0.683233,0.045528,0.07061,11.16,0.1645,54396.12966,0.593736,0.030568,0.002369,0.007808,2,-0.680949,0.249367,-0.000174,2.72E+11,0,9.55E+00,0.295,10000
4,SDSS19282,SN2007mk,"SN2007mk, SDSS-II SN 19282",A235617-0030,"23:56:16.80,23:56:17.28,23:56:17.33","-00:30:02.9,-00:30:21.384,-00:30:21.1392,-00:30:21.3804,-00:30:21.1","23:56:17,23:56:17.00","-00:30:21,-00:30:21.0",24.15609623,22.60949592,21.9572282,21.70066483,21.37259688,0.8651257,0.1357435,0.1097823,0.1273718,0.3611252,359.0716605,-0.506896213,OSC Host,4,0.17558,0.177,0,20.292843,0.113152,1.224646,0.23711,-0.038586,0.024891,5,10,54397.4343,0.162822,0.003539,0.000579,0.000919,2,-0.927778,-0.505872,-0.001113,2.01E+09,0.35030768,2.96E-01,0.176,10000
5,SDSS6924,SN2005ja,"SN2005ja, SDSS-II SN 6924",A235552+0052,"23:55:52.64,23:55:52.6,23:55:52.56,23:55:52.639","+00:52:37.1,+00:52:37,+00:52:37.13,+00:52:37.078,+00:52:36.674,+00:52:37.2,+00:52:37.20","23:55:52,23:55:52.00","+00:52:37,+00:52:37.0",20.5976193,24.01349138,23.5211212,24.21330659,21.7210317,0.1310663,0.9379513,0.858511,1.537643,0.8648188,358.9654248,0.876633089,OSC Host,5,0.3264,0.328,0,21.644769,0.11903,0.908728,0.762098,-0.07304,0.042455,10.755,0.361,53674.58795,0.652336,0.022352,0.000878,0.007706,2,-1.030669,0.876966,-8.30E-05,1.83E+09,0.52473076,2.92E+01,0.326,7000
6,SDSS20064,SN2007om,"SN2007om, 2MASS J23542071-0055021, SDSS-II SN 20064",SDSS J35420.70-005502.0,"23:54:20.72,23:54:20.64,23:54:20.69","-00:55:02.1,-00:55:03.828,-00:55:03.4212,-00:55:03.81,-00:55:03.4","23:54:20.706,23:54:20.64,23:54:20,23:54:20.00","-00:55:02.099,-00:55:02.0424,-00:55:03,-00:55:03.0",19.46180595,17.61324032,16.62582994,16.10466446,15.691697,0.08167426,0.008811221,0.005813442,0.005454591,0.0117444,358.5862633,-0.917233629,OSC Host,6,0.10391,0.10524,0,19.26048,0.112416,0.849269,0.180935,0.055639,0.023801,11.288,0.1785,54413.13977,0.119874,0.001614,0.000564,0.000761,2,-1.413803,-0.917617,-0.001144,2.23E+11,0,1.21E+02,0.104,12000
7,sn2007qe,SN2007qe,SN2007qe,NSF J235412.09+272432.3,"23:54:12.98,23:54:12.96","+27:24:33.0,+27:24:33.12,+27:24:33.4","23:54:12.19,23:54:12,23:54:12.00","+27:24:31.3,+27:24:33,+27:24:33.0",18.71821584,17.48272435,16.96320858,16.70183106,16.5876883,0.07159831,0.007697911,0.008177258,0.009021897,0.03277785,358.5503541,27.40886357,OSC Host,7,0.023867,0.024,0,16.068268,0.14435,0.760605,0.04565,0.052186,0.0262,6,5,54429.85217,0.037486,0.000101,0.000654,-7.60E-05,3,358.55399,27.40917,-0.009368,2.81E+09,0.48849131,2.61E+01,0.024,10000
8,SDSS19543,SN2007oj,"SN2007oj, SDSS-II SN 19543",SDSS J35138.01+001647.4,"23:51:37.920,23:51:37.92,23:51:38.01","+00:16:47.38,+00:16:46.99,+00:16:47.374,+00:16:47.006,+00:16:47.4","23:51:38.013,23:51:37.92,23:51:38,23:51:38.00","+00:16:47.380,+00:16:47.4348,+00:16:47,+00:16:47.0",22.28156767,21.67703504,21.36744403,21.10669609,20.73293128,0.3159323,0.07584176,0.0854479,0.09199671,0.2760312,357.9083519,0.279850551,OSC Host,8,0.12164,0.123,0,19.946008,0.112462,-0.835084,0.136685,-0.021891,0.023909,8.828,0.216,54401.00602,0.119816,0.001184,0.000562,0.000587,2,-2.091648,0.279826,-0.001226,1.42E+09,0.28781246,3.02E+00,0.122,9000
9,SDSS13070,SN2006fu,"SN2006fu, SDSS-II SN 13070",SDSS J35108.37-004447.6,"23:51:08.400,23:51:08.4,23:51:08.41,23:51:08.410","-00:44:47.64,-00:44:47.04,-00:44:46.824,-00:44:47.22,-00:44:46.8276,-00:44:47.202,-00:44:46.9,-00:44:46.90","23:51:08.4,23:51:08.379,23:51:08,23:51:08.00","-00:44:47.76,-00:44:47.641,-00:44:47.6376,-00:44:46,-00:44:46.0",20.55228944,19.64222415,18.96402698,18.60615003,18.53801505,0.1192793,0.02512244,0.01918234,0.02008018,0.06345675,357.7849269,-0.746580834,OSC Host,9,0.19709,0.19853,0,20.348239,0.116183,0.94902,0.275205,-0.144736,0.028227,9.999,0.264,53986.57209,0.252065,0.007604,0.00084,0.002549,2,-2.214941,-0.746341,-0.000963,4.24E+10,7.3738846,4.46E+00,0.197,10000
